URL;Código de respuesta;Error de Google Noticias;Detectado;;;
;Categoría;Plataforma;Último rastreo;;;
xterior/cinco-minutos-y-expulsion-para-perez-en-el-reinicio-de-liga-argentina+16839760;404;;22/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/henao-el-arquero-de-los-600-juegos-sudando-una-sola-camiseta+16381460;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/yo-la-jugada-de-rene-tuve-que-verla-en-la-repeticion-leonel-alvarez+16344736;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/seleccion-colombia/colombia-mira-duelo-contra-venezuela-mas-emotivo-que-tactico-suarez+16864565;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/uefa-europa-league/programese-para-las-llaves-de-cuartos-de-final-de-la-europa-league+16540307;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/estoy-orgulloso-del-trabajo-hecho-linea-por-linea-mateus-uribe+16847448;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/seleccion-colombia/a-falta-de-james-bueno-fue-cardona+16399959;404;;23/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/bacca-va-por-su-gol-30-en-la-serie-a-milan-visita-a-juventus+16838718;404;;21/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/cucuta-deportivo-no-merece-jugar-en-la-ciudad-alcalde-cesar-rojas+16734534;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/nacional-definio-los-18-jugadores-para-enfrentar-a-equidad-en-liga-i+16827857;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/uefa-europa-league/ajax-mantuvo-su-invicto-en-europa-league-vencio-2-0-a-panathinaikos+16758078;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/medellin-se-jugara-contra-junior-la-primera-de-seis-finales-en-liga-ii+16869068;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/seleccion-colombia/a-10-dias-de-la-eliminatoria-a-quien-convocaria-a-la-seleccion+16840722;404;;23/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/uefa-europa-league/celta-a-sorprender-al-united-en-primera-semifinal-de-europa-league+16850301;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/bacca-tino-y-otros-colombianos-con-sus-primeras-tripletas-en-europa+16680405;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/nacional-america-es-el-mejor-partido-de-colombia-bendito-fajardo+16834690;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/falcao-acepto-fraude-al-fisco-espanol-por-82-millones-de-euros+16859450;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/reviva-el-minuto-a-minuto-del-empate-de-santa-fe-0-0-con-river-plate+16676913;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/la-decisiva-fecha-20-de-la-liga-aguila-ii-tiene-programacion-definida+16746989;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/curiosidades/lewandowski-fue-impactado-por-un-petardo-en-el-rumania-vs-polonia+16748321;404;;22/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/nacional-siempre-fue-adelante-e-intento-jugar-bien-farid-diaz+16845818;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/tecnologia-carnetizacion-y-mano-dura-a-los-violentos-en-el-futbol+16580994;404;;25/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/cardona-y-chara-anotaron-en-2-2-del-monterrey-frente-a-santos-laguna+16847053;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/ni-a-james-ni-a-ninguno-le-gusta-ser-suplente-zidane+16551657;404;;05/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/envigado-y-bucaramanga-siguen-sumando-en-la-liga-empataron-0-0+16733160;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/de-pepe-no-tengo-mas-que-palabras-de-admiracion-florentino-perez+16846574;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/sporting-de-portugal-quiere-6-millones-de-euros-por-teo-gutierrez+16642750;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
